Lat,Lon,Name,Borough,Ride.Count
40.7278,-74.0076,WINS NEWS RADIO,1.0,4249
40.6795,-73.9883,UNION ST,3.0,4249
40.7027,-73.9869,WORLD MUSIC INSTITUTE,3.0,4248
40.7625,-73.9943,W 46 ST OV AMTRAK 30 ST BRANCH,1.0,4244
40.7676,-73.991,W 54 ST OV AMTRAK 30 ST BRANCH,1.0,4241
40.6595,-73.9462,YESHIVA DARCHAI MENACHEM,3.0,4235
40.7319,-74.0035,CALIENTE CAB RESTAURANT 7 AVE S,1.0,4220
40.7475,-73.9905,SATELLITE ACADEMY HIGH SCHOOL,1.0,4179
40.7159,-73.785,IMMACULATE CONCEPTION SCHOOL,4.0,4169
40.7305,-73.9823,IMMACULATE CONCEPTION SCHOOL,1.0,4169
40.746,-74.0061,HIGH LINE W 20 ST ENTRANCE,1.0,4163
40.7284,-73.9992,BITTER END,1.0,4154
40.6718,-73.9587,LINCOLN PL OVER FRANKLIN AV SHTL,3.0,4147
40.7059,-73.8173,BEST WESTERN JAMAICA INN HOTEL,4.0,4147
40.7462,-74.0013,CHELSEA SQUARE RESTAURANT,1.0,4147
40.6902,-73.9536,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER KOSCIUSZKO ST,3.0,4142
40.7776,-73.9528,GRACIE POST OFFICE,1.0,4141
40.7291,-73.9799,DIAS Y FLORES GARDEN,1.0,4136
40.7122,-73.9613,NUESTROS NINOS CHILD DAY CARE S 3 ST,3.0,4122
40.7256,-74.007,FIRE MUSEUM,1.0,4093
40.7326,-73.9968,MARLTON HOTEL,1.0,4092
40.7282,-74.0008,MAGEN DAVID OF MANHATTAN SYNAGOGUE,1.0,4088
40.7665,-73.9835,HEARST TOWER,1.0,4069
40.7373,-73.9875,BARUCH COLLEGE EARLY LEARNING CENTER,1.0,4059
40.7536,-73.9862,MARRIOTT COURTYARD TIMES SQUARE HOTEL,1.0,4052
40.7206,-74.011,THE CITI CHILDRENS CENTER AT 388 GREENWICH ST,1.0,4041
40.7609,-73.9764,ST THOMAS CHURCH 5 AVE,1.0,4006
40.6856,-73.9758,HANSON PLACE CHILD DEVELOPMENT CENTER,3.0,4004
40.7518,-73.9316,HRA SNAP CENTER QUEENS S53,4.0,3983
40.756,-73.9837,STEINWAY HALL,1.0,3975
40.7691,-73.9815,TRUMP INTERNATIONAL HOTEL,1.0,3975
40.7422,-74.0038,DREAM DOWNTOWN HOTEL,1.0,3964
40.7586,-73.9939,LITTLE SHUBERT THEATRE,1.0,3964
40.7465,-73.9728,CORINTHIAN BUILDING,1.0,3962
40.764,-73.9877,IRVINGTON HALL APARTMENTS,1.0,3957
40.7725,-73.9655,CAMEROON CONSULATE,1.0,3949
40.7592,-73.972,THE CITIGROUP CHILDRENS CENTER AT 399 PARK AV,1.0,3946
40.7253,-74.0044,SOHO SQUARE,1.0,3930
40.7472,-73.9852,CHELSEA DAY SCHOOL,1.0,3927
40.7299,-73.9927,HARVEY MILK HIGH SCHOOL,1.0,3904
40.7236,-73.9954,ST PATRICKS OLD CATHEDRAL,1.0,3896
40.7475,-73.9928,OFFICE OF ACADEMIC POLICY & SYSTEMS,1.0,3892
40.7184,-74.0042,TRIBECA SYNAGOGUE,1.0,3869
40.7268,-73.954,PS 31 SAMUEL F DUPONT,3.0,3863
40.7412,-73.9968,BATTALION 7 ENGINE 3 LADDER 12,1.0,3860
40.7386,-73.9857,GRAMERCY PARK HOTEL,1.0,3859
40.7622,-74.0003,CHINESE CONSULATE,1.0,3854
40.768,-73.957,LE CHAMBORD CONDOMINIUMS,1.0,3852
40.7581,-73.9728,IRELAND CONSULATE,1.0,3846
40.7334,-73.9868,NEW YORK UNIVERSITY CORAL TOWERS,1.0,3845
40.7589,-73.9772,ATLAS STATUE,1.0,3833
40.7543,-73.9941,DOUBLETREE HOTEL TIMES SQUARE SOUTH,1.0,3829
40.7206,-74.004,CANAL STREET POST OFFICE,1.0,3802
40.732,-73.9917,NEW YORK UNIVERSITY BRITTANY RESIDENCE HALL,1.0,3800
40.7247,-73.9825,CREATIVE LITTLE GARDEN,1.0,3786
40.738,-74.0046,JANE STREET GARDEN,1.0,3767
40.6879,-73.9847,ST NICHOLAS ANTIOCHIAN ORTHODOX CATHEDRAL,3.0,3762
40.696,-73.9211,BUSHWICK II (A & C) BLDG 25,3.0,3761
40.7284,-73.985,EAST VILLAGE HOTEL,1.0,3760
40.7744,-73.949,WEE CARE CHILD CARE,1.0,3757
40.7458,-73.9788,NYU CLINICAL CANCER CENTER,1.0,3754
40.7221,-73.9841,HOPE GARDEN,1.0,3752
40.737,-73.9924,NEW SCHOOL LIST CENTER,1.0,3739
40.7642,-73.9785,PARKER MERIDIEN HOTEL,1.0,3715
40.7247,-73.9848,VILLAGE VIEW CO-OP BUILDING 3,1.0,3712
40.7289,-73.9877,OTTENDORFER LIBRARY,1.0,3687
40.7419,-74.0078,HIGH LINE W 14 ST ENTRANCE,1.0,3686
40.7438,-73.9726,RIVERGATE APARTMENTS,1.0,3679
40.7294,-74.0021,LITTLE RED SQUARE,1.0,3664
40.7418,-74.0043,PORT AUTHORITY POST OFFICE,1.0,3663
40.7786,-73.9619,MARYMOUNT SCHOOL OF NY 82 ST CAMPUS,1.0,3661
40.7645,-73.9819,DREAM MIDTOWN HOTEL,1.0,3655
40.761,-73.9677,SPANISH CONSULATE,1.0,3655
40.7582,-73.9749,LOTTE NEW YORK PALACE HOTEL,1.0,3651
40.7526,-73.9871,GARMENT CENTER CONGREGATION,1.0,3643
40.7638,-73.9935,W 48 ST OV AMTRAK 30 ST BRANCH,1.0,3637
40.765,-73.9621,MANHATTAN HOUSE BUILDING,1.0,3630
40.7261,-73.9922,WHITEHOUSE HOTEL,1.0,3617
40.7654,-73.9612,BEEKMAN THEATRE,1.0,3600
40.6687,-73.8987,LI BAPTIST HOUSES BUILDING 1,3.0,3590
40.73,-73.987,ABE LEBEWOHL PARK,1.0,3589
40.7277,-73.9923,MERCHANTS HOUSE MUSEUM,1.0,3584
40.7386,-73.9897,AMC 19 ST EAST THEATER,1.0,3576
40.764,-73.9736,PULITZER FOUNTAIN,1.0,3573
40.716,-74.0076,WASHINGTON MARKET SCHOOL DUANE ST,1.0,3554
40.7566,-73.9739,WALDORF ASTORIA HOTEL,1.0,3544
40.7217,-73.9961,DESALVIO PLAYGROUND,1.0,3535
40.7542,-73.9898,MIDTOWN STATION,1.0,3520
40.6984,-73.9725,BROOKLYN NAVY YARD - BUILDING 3,3.0,3513
40.7716,-73.9624,BUCKLEY SCHOOL BRIAN R WALSH BUILDING,1.0,3496
40.7441,-73.9832,CLARION HOTEL PARK AV,1.0,3480
40.8276,-73.926,TBPD DISTRICT 11,2.0,3469
40.738,-73.9977,MCBURNEY YMCA,1.0,3461
40.7415,-73.8424,MEADOW,4.0,3460
40.7371,-73.8365,MEADOW,4.0,3460
40.7632,-73.7708,BELL BLVD OVER LIRR PORT WASHBR,4.0,3453
40.756,-73.9794,PHILIPPINES CONSULATE & MISSION TO UN,1.0,3452
40.7269,-73.9926,ENGINE 33 LADDER 9,1.0,3445
40.7481,-74.0036,LONDON TERRACE POST OFFICE,1.0,3441
40.7279,-73.9908,THE STANDARD HOTEL EAST VILLAGE,1.0,3432
40.7211,-73.9986,MTA LAFAYETTE BROOME SUBSTATION,1.0,3430
40.7578,-73.9823,STEVENS TOWER,1.0,3424
40.7338,-74.0025,THE DUPLEX,1.0,3424
40.7486,-73.9883,GREELEY SQUARE,1.0,3421
40.7762,-73.9612,GREEK CONSULATE,1.0,3413
40.6984,-73.9673,BROOKLYN NAVY YARD - BUILDING 1,3.0,3410
40.692,-73.9855,ST JOSEPH HIGH SCHOOL,3.0,3408
