,Statewide,Upstate,Downstate,NYC,Metric,Rides
256,384.0,378.9,388.7,373.8,7-Day Average Rides,24217.571428571428
257,384.0,378.9,388.7,373.8,7-Day Average Rides,23994.42857142857
258,384.0,378.9,388.7,373.8,7-Day Average Rides,23817.571428571428
259,384.0,378.9,388.7,373.8,7-Day Average Rides,23036.714285714286
260,387.8,381.1,393.8,377.9,7-Day Average Rides,22884.285714285717
261,387.8,381.1,393.8,377.9,7-Day Average Rides,22731.571428571428
262,387.8,381.1,393.8,377.9,7-Day Average Rides,22553.0
263,387.8,381.1,393.8,377.9,7-Day Average Rides,21562.14285714286
264,387.8,381.1,393.8,377.9,7-Day Average Rides,21649.714285714286
265,387.8,381.1,393.8,377.9,7-Day Average Rides,21908.42857142857
266,387.8,381.1,393.8,377.9,7-Day Average Rides,21902.285714285717
267,389.9,382.9,396.2,379.6,7-Day Average Rides,21755.42857142857
268,389.9,382.9,396.2,379.6,7-Day Average Rides,22014.42857142857
269,389.9,382.9,396.2,379.6,7-Day Average Rides,22003.285714285717
270,389.9,382.9,396.2,379.6,7-Day Average Rides,22092.42857142857
271,389.9,382.9,396.2,379.6,7-Day Average Rides,22273.571428571428
272,389.9,382.9,396.2,379.6,7-Day Average Rides,22385.714285714286
273,389.9,382.9,396.2,379.6,7-Day Average Rides,22480.0
274,390.2,383.8,396.0,378.8,7-Day Average Rides,22544.14285714286
275,390.2,383.8,396.0,378.8,7-Day Average Rides,22547.0
276,390.2,383.8,396.0,378.8,7-Day Average Rides,21558.571428571428
277,390.2,383.8,396.0,378.8,7-Day Average Rides,20023.285714285717
278,390.2,383.8,396.0,378.8,7-Day Average Rides,18549.285714285717
279,390.2,383.8,396.0,378.8,7-Day Average Rides,17740.14285714286
280,390.2,383.8,396.0,378.8,7-Day Average Rides,17723.714285714286
281,385.8,381.5,389.7,374.3,7-Day Average Rides,18371.571428571428
282,385.8,381.5,389.7,374.3,7-Day Average Rides,18562.571428571428
283,385.8,381.5,389.7,374.3,7-Day Average Rides,19840.285714285717
284,385.8,381.5,389.7,374.3,7-Day Average Rides,21926.571428571428
285,385.8,381.5,389.7,374.3,7-Day Average Rides,24076.0
286,385.8,381.5,389.7,374.3,7-Day Average Rides,25453.0
287,385.8,381.5,389.7,374.3,7-Day Average Rides,26748.714285714286
288,382.8,379.5,385.8,369.9,7-Day Average Rides,27903.285714285717
289,382.8,379.5,385.8,369.9,7-Day Average Rides,28016.14285714286
290,382.8,379.5,385.8,369.9,7-Day Average Rides,28040.285714285717
291,382.8,379.5,385.8,369.9,7-Day Average Rides,28198.571428571428
292,382.8,379.5,385.8,369.9,7-Day Average Rides,28168.571428571428
293,382.8,379.5,385.8,369.9,7-Day Average Rides,28187.14285714286
294,382.8,379.5,385.8,369.9,7-Day Average Rides,27648.285714285717
295,378.5,374.8,381.9,363.9,7-Day Average Rides,26960.285714285717
296,378.5,374.8,381.9,363.9,7-Day Average Rides,27741.14285714286
297,378.5,374.8,381.9,363.9,7-Day Average Rides,27932.571428571428
298,378.5,374.8,381.9,363.9,7-Day Average Rides,27949.0
299,378.5,374.8,381.9,363.9,7-Day Average Rides,28232.14285714286
300,378.5,374.8,381.9,363.9,7-Day Average Rides,28429.0
301,378.5,374.8,381.9,363.9,7-Day Average Rides,28486.571428571428
302,375.2,372.7,377.5,360.3,7-Day Average Rides,28280.85714285714
303,375.2,372.7,377.5,360.3,7-Day Average Rides,27804.714285714286
304,375.2,372.7,377.5,360.3,7-Day Average Rides,28017.714285714286
305,375.2,372.7,377.5,360.3,7-Day Average Rides,28357.42857142857
306,375.2,372.7,377.5,360.3,7-Day Average Rides,28496.0
307,375.2,372.7,377.5,360.3,7-Day Average Rides,28575.42857142857
308,375.2,372.7,377.5,360.3,7-Day Average Rides,28714.14285714286
309,370.6,368.8,372.3,356.2,7-Day Average Rides,28786.285714285717
310,370.6,368.8,372.3,356.2,7-Day Average Rides,28751.285714285717
311,370.6,368.8,372.3,356.2,7-Day Average Rides,28639.571428571428
312,370.6,368.8,372.3,356.2,7-Day Average Rides,28362.14285714286
313,370.6,368.8,372.3,356.2,7-Day Average Rides,28020.42857142857
314,370.6,368.8,372.3,356.2,7-Day Average Rides,27654.42857142857
315,370.6,368.8,372.3,356.2,7-Day Average Rides,27323.0
316,368.5,367.8,369.1,350.9,7-Day Average Rides,27544.714285714286
317,368.5,367.8,369.1,350.9,7-Day Average Rides,27443.714285714286
318,368.5,367.8,369.1,350.9,7-Day Average Rides,27114.85714285714
319,368.5,367.8,369.1,350.9,7-Day Average Rides,26909.571428571428
320,368.5,367.8,369.1,350.9,7-Day Average Rides,26902.14285714286
321,368.5,367.8,369.1,350.9,7-Day Average Rides,26991.42857142857
322,368.5,367.8,369.1,350.9,7-Day Average Rides,26894.85714285714
323,364.4,365.1,363.8,347.9,7-Day Average Rides,26207.42857142857
324,364.4,365.1,363.8,347.9,7-Day Average Rides,25945.571428571428
325,364.4,365.1,363.8,347.9,7-Day Average Rides,26209.42857142857
326,364.4,365.1,363.8,347.9,7-Day Average Rides,26286.285714285717
327,364.4,365.1,363.8,347.9,7-Day Average Rides,26409.571428571428
328,364.4,365.1,363.8,347.9,7-Day Average Rides,26527.714285714286
329,364.4,365.1,363.8,347.9,7-Day Average Rides,26547.285714285717
330,362.9,363.4,362.5,346.7,7-Day Average Rides,26506.714285714286
331,362.9,363.4,362.5,346.7,7-Day Average Rides,26372.85714285714
332,362.9,363.4,362.5,346.7,7-Day Average Rides,25843.285714285717
333,362.9,363.4,362.5,346.7,7-Day Average Rides,25545.0
334,362.9,363.4,362.5,346.7,7-Day Average Rides,25092.571428571428
335,362.9,363.4,362.5,346.7,7-Day Average Rides,25269.0
336,362.9,363.4,362.5,346.7,7-Day Average Rides,24964.42857142857
337,362.8,363.4,362.3,347.5,7-Day Average Rides,25576.0
338,362.8,363.4,362.3,347.5,7-Day Average Rides,26377.85714285714
339,362.8,363.4,362.3,347.5,7-Day Average Rides,27772.571428571428
340,362.8,363.4,362.3,347.5,7-Day Average Rides,29900.42857142857
341,362.8,363.4,362.3,347.5,7-Day Average Rides,32270.42857142857
342,362.8,363.4,362.3,347.5,7-Day Average Rides,33250.857142857145
343,362.8,363.4,362.3,347.5,7-Day Average Rides,34736.42857142857
344,360.2,359.8,360.7,344.5,7-Day Average Rides,35554.857142857145
345,360.2,359.8,360.7,344.5,7-Day Average Rides,36023.28571428572
346,360.2,359.8,360.7,344.5,7-Day Average Rides,35748.857142857145
347,360.2,359.8,360.7,344.5,7-Day Average Rides,35351.857142857145
348,360.2,359.8,360.7,344.5,7-Day Average Rides,35735.42857142857
349,360.2,359.8,360.7,344.5,7-Day Average Rides,35448.0
350,360.2,359.8,360.7,344.5,7-Day Average Rides,35318.57142857143
351,354.8,356.4,353.4,338.2,7-Day Average Rides,35537.42857142857
352,354.8,356.4,353.4,338.2,7-Day Average Rides,35483.28571428572
353,354.8,356.4,353.4,338.2,7-Day Average Rides,36031.142857142855
354,354.8,356.4,353.4,338.2,7-Day Average Rides,36242.142857142855
355,354.8,356.4,353.4,338.2,7-Day Average Rides,35622.0
356,354.8,356.4,353.4,338.2,7-Day Average Rides,35693.142857142855
357,354.8,356.4,353.4,338.2,7-Day Average Rides,35530.0
358,353.8,354.9,352.8,335.7,7-Day Average Rides,34704.857142857145
359,353.8,354.9,352.8,335.7,7-Day Average Rides,34100.57142857143
360,353.8,354.9,352.8,335.7,7-Day Average Rides,33804.71428571428
361,353.8,354.9,352.8,335.7,7-Day Average Rides,33302.857142857145
362,353.8,354.9,352.8,335.7,7-Day Average Rides,33389.142857142855
363,353.8,354.9,352.8,335.7,7-Day Average Rides,33537.142857142855
364,353.8,354.9,352.8,335.7,7-Day Average Rides,33664.142857142855
365,352.1,349.4,354.5,335.3,7-Day Average Rides,34109.142857142855
